iter	Logloss
0	0.6674097812
1	0.6411917413
2	0.6108203481
3	0.5825591773
4	0.558212684
5	0.5352856728
6	0.5147100224
7	0.4970490462
8	0.4756279957
9	0.4571982049
10	0.440035569
11	0.4234572472
12	0.4065558235
13	0.3924287474
14	0.3761002158
15	0.3628965675
16	0.3473666222
17	0.3363253362
18	0.321179799
19	0.3112011401
20	0.3011055395
21	0.2934472501
22	0.2801579678
23	0.2692256686
24	0.2612527385
25	0.2548817673
26	0.245987745
27	0.2388682479
28	0.2302111769
29	0.2217821127
30	0.2155804557
31	0.2079016339
32	0.2014720343
33	0.1962449981
34	0.1901379511
35	0.1838213193
36	0.1788234192
37	0.1748830082
38	0.1701211317
39	0.1644910766
40	0.1601083684
41	0.1545266738
42	0.1501561947
43	0.1436626257
44	0.1382858517
45	0.1347795075
46	0.1315471825
47	0.1294584765
48	0.1246872927
49	0.1194978369
50	0.1179098244
51	0.1143543802
52	0.110750293
53	0.1085430466
54	0.1053405952
55	0.1020452652
56	0.09821354783
57	0.09507620214
58	0.09309945635
59	0.09094066026
60	0.08811423574
61	0.08536377907
62	0.08414528431
63	0.08190938823
64	0.0793137748
65	0.07737584554
66	0.07499524809
67	0.07290954083
68	0.07094248622
69	0.06893904113
70	0.06811659415
71	0.06595642347
72	0.06439315805
73	0.06297044936
74	0.06119522179
75	0.06044927235
76	0.05952079904
77	0.05787422134
78	0.05717102314
79	0.05565217766
80	0.05443590824
81	0.05310378513
82	0.05172067068
83	0.0507304686
84	0.05008983094
85	0.04929205844
86	0.0487397959
87	0.04794826582
88	0.04716311727
89	0.04655364586
90	0.04593837362
91	0.04512222873
92	0.04411587557
93	0.04342267363
94	0.04229453671
95	0.04141048954
96	0.04090981265
97	0.03996587363
98	0.03907821503
99	0.03856155613
100	0.03782123483
101	0.03690561639
102	0.03621202493
103	0.0354205492
104	0.03463563271
105	0.03439120323
106	0.0341185928
107	0.03337906894
108	0.03298903839
109	0.03240331109
110	0.03202970911
111	0.03145165823
112	0.03097748915
113	0.03065631708
114	0.03006376162
115	0.02974220081
116	0.02958915645
117	0.02929700015
118	0.02879086336
119	0.02841316991
120	0.02797376251
121	0.02755903125
122	0.02706644023
123	0.02676289418
124	0.02633449356
125	0.0259195607
126	0.02556855929
127	0.0252461699
128	0.02501731826
129	0.02480674833
130	0.02427101276
131	0.02388010869
132	0.02353567433
133	0.02319670075
134	0.02280098847
135	0.02252375492
136	0.02226474589
137	0.02204434329
138	0.02177635064
139	0.02153304506
140	0.02129775477
141	0.02105056696
142	0.02078402446
143	0.02057439152
144	0.02028155138
145	0.01997275454
146	0.01980002529
147	0.01951215089
148	0.01931093717
149	0.01914567322
150	0.01899981161
151	0.01892060233
152	0.01863498343
153	0.01840110947
154	0.01820176045
155	0.01795541346
156	0.01772536579
157	0.01759898302
158	0.01732941781
159	0.01707440674
160	0.01686047577
161	0.01678982147
162	0.01665019035
163	0.01650812432
164	0.01635573203
165	0.01626017652
166	0.01606102323
167	0.01585525092
168	0.01562878925
169	0.01545566085
170	0.01539426661
171	0.01521108334
172	0.01508200684
173	0.01493229999
174	0.01474343632
175	0.01454241935
176	0.01440962067
177	0.01426743884
178	0.01411337804
179	0.01399900413
180	0.01389141022
181	0.01382842147
182	0.01370346172
183	0.01359051309
184	0.01347546024
185	0.01333837675
186	0.01317035486
187	0.01302692366
188	0.01288157535
189	0.01277644322
190	0.01267135453
191	0.01251510302
192	0.01238837542
193	0.01221919691
194	0.01214677353
195	0.01201001435
196	0.01188010893
197	0.01181682645
198	0.01174939607
199	0.01168968758
200	0.01157826171
201	0.01154061299
202	0.01140891275
203	0.01135245565
204	0.01124996163
205	0.0111793968
206	0.01106283027
207	0.01096291064
208	0.01088716008
209	0.01078263109
210	0.01068753623
211	0.01063109693
212	0.01054864228
213	0.01045112455
214	0.0103752701
215	0.01028783017
216	0.01021982601
217	0.01013135485
218	0.01003771437
219	0.00994581284
220	0.009891373796
221	0.009803557617
222	0.009713435483
223	0.009626921895
224	0.009539574227
225	0.009482527472
226	0.009415865923
227	0.009346674567
228	0.009283667442
229	0.009201690406
230	0.009137614805
231	0.009051585683
232	0.008991200593
233	0.008918123581
234	0.00885931231
235	0.008799903332
236	0.008736568589
237	0.008663388195
238	0.008626184773
239	0.008562227266
240	0.008504150065
241	0.008437853585
242	0.008361636243
243	0.008321925796
244	0.008274729574
245	0.008214579151
246	0.008160113324
247	0.008115842114
248	0.008068622582
249	0.008025972754
250	0.007995895869
251	0.007943498333
252	0.007880918278
253	0.007822435815
254	0.007765102779
255	0.007707707154
256	0.007644859976
257	0.007599484976
258	0.007523221358
259	0.007471196632
260	0.007423682035
261	0.007386780365
262	0.007337132617
263	0.007291074549
264	0.007243227647
265	0.007202091802
266	0.007160379317
267	0.00711917768
268	0.00706616561
269	0.007018020009
270	0.006968522808
271	0.006925189976
272	0.00689426507
273	0.006854609135
274	0.0068198004
275	0.006783122401
276	0.006753350928
277	0.006717501669
278	0.006674794666
279	0.006636189192
280	0.006604177208
281	0.006567111271
282	0.00653794345
283	0.006502289095
284	0.006472104849
285	0.00644257491
286	0.006408223356
287	0.006377407992
288	0.006339172189
289	0.006308496609
290	0.006267187711
291	0.006238461039
292	0.006205850465
